자치구,대여소명,기준년월,대여건수,반납건수
마포구,108. 서교동 사거리,202501,670,786
양천구,729. 서부식자재마트 건너편,202501,961,939
양천구,731. 서울시 도로환경관리센터,202501,1671,1722
양천구,733. 신정이펜하우스314동,202501,299,154
양천구,734. 신트리공원 입구,202501,1555,1549
양천구,735. 영도초등학교,202501,1546,1552
양천구,736. 오솔길공원,202501,470,463
양천구,737. 장수공원,202501,292,262
양천구,739. 신월사거리,202501,523,555
양천구,740. 으뜸공원,202501,567,650
양천구,741. 화곡로 입구 교차로,202501,187,186
양천구,742. 등촌역 5번 출구 뒤,202501,395,398
양천구,743. 현대6차아파트 101동 옆,202501,464,456
양천구,744. 신목동역 2번 출구,202501,1817,1818
양천구,745. 강서초등학교,202501,238,243
양천구,746. 목동2단지 상가,202501,2185,2214
양천구,747. 목동3단지 상가,202501,1415,1429
양천구,748. 목동운동장,202501,306,379
광진구,505. 자양사거리 광진아크로텔 앞,202501,1098,1080
은평구,937. 상림마을 롯데캐슬2단지 옆,202501,49,54
은평구,938. 금암 문화공원,202501,76,76
은평구,939. 은평구청 교차로,202501,288,294
은평구,941. 은평뉴타운 도서관,202501,252,69
은평구,942. 상림마을 생태공원,202501,123,121
은평구,943. 은평구청 보건소,202501,895,976
성동구,506. 금호 어울림 아파트 앞,202501,483,493
은평구,945. 기자촌 사거리 A,202501,55,45
은평구,946. 독바위역 ,202501,214,209
은평구,947. 연신내 선일하이츠빌 정류소,202501,115,103
은평구,948. 디지털미디어 시티역 4번출구(DMC역),202501,462,464
은평구,949. 연신내역 1번 출구 ,202501,569,685
은평구,950. 구산역 2번 출구 예일여고 버스정류장,202501,488,515
은평구,952. 서울연신중학교,202501,218,215
은평구,953. 서울연신초등학교,202501,148,141
강동구,1023. 한국종합기술사옥 앞,202501,974,986
강동구,1024.  강동구청 앞,202501,1825,1869
강동구,1025. 상일초등학교,202501,327,308
강동구,1027. 프라자 아파트 앞,202501,415,387
강동구,1028. 포레스 주상복합 빌딩,202501,904,902
강동구,1029. 성내어울터,202501,1564,1582
강동구,1030. 미호 플랜트 앞,202501,782,773
강동구,1031. 올림픽로 836(아리수로),202501,245,286
강동구,1032. 선사고등학교,202501,212,263
성동구,508. 성수아카데미타워 앞,202501,3050,2780
강동구,1033. 고덕동 아남아파트,202501,706,459
강동구,1034. 고덕동 래미안 힐스테이트,202501,272,194
강동구,1036. 고덕동 주양쇼핑,202501,478,462
강동구,1037. 강일리버파크 6단지,202501,124,138
강동구,1038. 강일 다솜 어린이 공원,202501,153,158
강동구,1039. 고덕초등학교,202501,67,67
강동구,1041. 묘곡초등학교,202501,262,266
강동구,1042. 강일리버파크 2~5단지,202501,317,308
강동구,1044. 굽은다리역,202501,1971,2089
강서구,1150. 송정역 1번출구,202501,1595,1595
강서구,1151. 마곡역1번출구,202501,2764,3166
강서구,1152. 마곡역교차로,202501,2861,3147
강서구,"1153. 발산역 1번, 9번 인근 대여소",202501,4735,4716
강서구,1155. 기쁜우리복지관,202501,1114,1058
강서구,1157. 강서구청,202501,2082,2179
성동구,510. 뚝도아리수정수센터 버스정류소 옆,202501,292,289
송파구,1251. 석촌역 2번출구,202501,1297,1307
송파구,1253. 오금역 3번 출구 뒤,202501,351,303
송파구,1256. 문정현대아파트 교차로,202501,327,327
송파구,1257. 가락시장역 사거리,202501,627,654
송파구,1258. 가락미륭아파트 앞,202501,217,187
송파구,1259. 방이역 1번출구,202501,869,886
송파구,1260. 방이동 한양3차아파트 옆,202501,663,658
성동구,511. 서울숲역 5번 출구 옆,202501,510,520
송파구,1262. 송파여성문화회관 앞,202501,1131,1124
송파구,1263. 장지공영차고지,202501,205,201
송파구,1264. 천호역 10번 출구 앞,202501,1653,1661
송파구,1265. 문정동 근린공원,202501,582,641
송파구,1266. 문정동 글샘 공원,202501,323,254
송파구,1267. 올림픽공원 남2문 앞,202501,392,379
송파구,1268. 몽촌토성역 1번출구 옆,202501,553,556
송파구,1269. 리센츠아파트 ,202501,835,734
송파구,1271. 송파도서관,202501,587,587
성동구,512. 뚝섬역 1번 출구 옆,202501,1163,1247
송파구,1274. 영파여고 앞,202501,734,700
중랑구,1442. 중랑구청 중화동 별관 앞,202501,1244,1251
중랑구,1444. 면목4치안센터,202501,531,735
중랑구,1445. 용마지구대 A,202501,145,140
중랑구,1446. 중랑전화국 교차로,202501,980,1049
중랑구,1447. 면목역 3번출구,202501,1071,1263
중랑구,1448. 코스트코 상봉점,202501,1035,1036
마포구,400. 상암한화오벨리스크 1차 앞,202501,584,577
강북구,1526. 강북종합시장 앞,202501,510,529
강북구,1527. 미아역 1번 출구 뒤,202501,385,372
강북구,1528. 삼각산동 주민센터,202501,326,132
강북구,1529. 미아동 한국전력공사,202501,700,676
강북구,1530. 광산사거리,202501,971,960
강북구,1531. 미아사거리 1번 출구,202501,1060,1165
강북구,1532. 번3동 주민센터 교차로,202501,491,527
강북구,"1533. 번동 주공3, 4단지 교차로",202501,511,597
강북구,1535. 효성인텔리안 앞,202501,991,992
성동구,513. 뚝섬역 5번 출구 정류소 옆,202501,666,657
강북구,1536. 번동 두산위브 101동 옆,202501,350,353
노원구,1643. 태릉입구역 8번출구,202501,838,851
노원구,1646. 삼육대 입구,202501,112,112
노원구,1650. 중계근린공원내,202501,1972,1950
노원구,1651. 상계동 우방유쉘아파트 앞,202501,523,542
성동구,514. 성수사거리 버스정류장 앞,202501,1524,1569
노원구,1652. 파르코 앞,202501,172,172
